ID,STOPID,ORDERNUMBER,CREATIONDATE
3314184,3594858,21361220,2020-06-09 20:01:33
3314185,3594859,21460881,2020-06-09 20:01:33
3314188,3594862,21518400,2020-06-09 20:01:33
3314189,3594863,21460562,2020-06-09 20:01:33
3314190,3594864,21422791,2020-06-09 20:01:33
3314191,3594865,21433010,2020-06-09 20:01:33
3314183,3594857,21460869,2020-06-09 20:01:33
3314192,3594866,21433003,2020-06-09 20:01:33
3314186,3594860,21460596,2020-06-09 20:01:33
3314187,3594861,21510308,2020-06-09 20:01:33
3313541,3594128,21489543,2020-06-09 15:17:18
3313537,3594123,21503869,2020-06-09 15:17:18
3313536,3594122,21505566,2020-06-09 15:17:18
3313542,3594129,21520054,2020-06-09 15:17:18
3313543,3594130,21515582,2020-06-09 15:17:18
3313544,3594131,21483339,2020-06-09 15:17:18
3313545,3594132,21494368,2020-06-09 15:17:18
3313547,3594134,21471019,2020-06-09 15:17:18
3313538,3594124,21505169,2020-06-09 15:17:18
3313539,3594125,21483328,2020-06-09 15:17:18
3313540,3594126,21466943,2020-06-09 15:17:18
3313546,3594133,21476737,2020-06-09 15:17:18
3303045,3581929,21384635,2020-06-03 20:48:39
3303046,3581930,21459770,2020-06-03 20:48:39
3303049,3581933,21448782,2020-06-03 20:48:39
3303050,3581934,21384632,2020-06-03 20:48:39
3303051,3581935,21315691,2020-06-03 20:48:39
3303052,3581936,21193782,2020-06-03 20:48:39
3303053,3581937,21430637,2020-06-03 20:48:39
3303055,3581939,21332464,2020-06-03 20:48:39
3303056,3581940,21413547,2020-06-03 20:48:39
3303057,3581941,21291992,2020-06-03 20:48:39
3303058,3581942,21442706,2020-06-03 20:48:39
3303047,3581931,21413568,2020-06-03 20:48:39
3303054,3581938,21451996,2020-06-03 20:48:39
3303059,3581943,21446310,2020-06-03 20:48:39
3303060,3581944,21339775,2020-06-03 20:48:39
3303061,3581945,21437310,2020-06-03 20:48:39
3303062,3581946,21339797,2020-06-03 20:48:39
3303048,3583554,21442121,2020-06-03 20:48:39
3302695,3581559,21420259,2020-06-03 20:33:41
3302696,3581560,21437901,2020-06-03 20:33:41
3302697,3581561,21339434,2020-06-03 20:33:41
3302699,3581563,21339432,2020-06-03 20:33:41
3302704,3581569,21337459,2020-06-03 20:33:41
3302705,3581570,21434246,2020-06-03 20:33:41
3302707,3581572,21419008,2020-06-03 20:33:41
3302709,3581574,21315943,2020-06-03 20:33:41
3302710,3581575,21337466,2020-06-03 20:33:41
3302698,3581562,21430524,2020-06-03 20:33:41
3302700,3581564,21315928,2020-06-03 20:33:41
3302701,3581565,21315923,2020-06-03 20:33:41
3302703,3581568,21292474,2020-06-03 20:33:41
3302702,3581566,21447881,2020-06-03 20:33:41
3302706,3581571,21317656,2020-06-03 20:33:41
3302708,3581573,21174527,2020-06-03 20:33:41
3291263,3568273,21175932,2020-05-28 20:36:06
3291264,3568274,21258873,2020-05-28 20:36:06
3291269,3568279,21343271,2020-05-28 20:36:06
3291272,3568282,21303205,2020-05-28 20:36:06
3291278,3568289,21140410,2020-05-28 20:36:06
3291277,3568288,21132894,2020-05-28 20:36:06
3291260,3569554,21333188,2020-05-28 20:36:06
3291273,3568284,21067118,2020-05-28 20:36:06
3291274,3568285,21315786,2020-05-28 20:36:06
3291276,3568287,21344900,2020-05-28 20:36:06
3291261,3568271,21391463,2020-05-28 20:36:06
3291262,3568272,21378716,2020-05-28 20:36:06
3291268,3568278,21320217,2020-05-28 20:36:06
3291271,3568281,21174995,2020-05-28 20:36:06
3291265,3568275,21398048,2020-05-28 20:36:06
3291267,3568277,21333202,2020-05-28 20:36:06
3291275,3568286,21350882,2020-05-28 20:36:06
3291270,3568280,21338731,2020-05-28 20:36:06
3291266,3568276,21311859,2020-05-28 20:36:06
3284850,3560641,21348680,2020-05-25 21:20:01
3284855,3560646,21158505,2020-05-25 21:20:01
3284860,3560651,21271418,2020-05-25 21:20:01
3284861,3560653,21259679,2020-05-25 21:20:01
3284851,3560642,21342893,2020-05-25 21:20:01
3284853,3560644,21334246,2020-05-25 21:20:01
3284856,3560647,21338229,2020-05-25 21:20:01
3284852,3560643,21338194,2020-05-25 21:20:01
3284854,3560645,21243204,2020-05-25 21:20:01
3284857,3560648,21243175,2020-05-25 21:20:01
3284858,3560649,21284172,2020-05-25 21:20:01
3284859,3560650,21095216,2020-05-25 21:20:01
3284862,3560654,21095226,2020-05-25 21:20:01
3283806,3559514,21292228,2020-05-25 19:53:34
3283807,3559515,21322318,2020-05-25 19:53:34
3283811,3559519,21263855,2020-05-25 19:53:34
3283812,3559520,21224089,2020-05-25 19:53:34
3283814,3559523,21143912,2020-05-25 19:53:34
3283815,3559524,21259863,2020-05-25 19:53:34
3283810,3559518,21300124,2020-05-25 19:53:34
3283813,3559521,21329337,2020-05-25 19:53:34
3283816,3559525,21292659,2020-05-25 19:53:34
3283817,3559526,21026108,2020-05-25 19:53:34
3283818,3559527,21292646,2020-05-25 19:53:34
3283819,3559528,21292647,2020-05-25 19:53:34
3283820,3559529,20829028,2020-05-25 19:53:34
3283808,3559516,21306037,2020-05-25 19:53:34
3283809,3559517,21297217,2020-05-25 19:53:34
3279823,3554928,21314271,2020-05-22 19:44:15
3279827,3554932,21283418,2020-05-22 19:44:15
3279835,3554941,21320647,2020-05-22 19:44:15
3279819,3554924,21309391,2020-05-22 19:44:15
3279836,3554942,21314667,2020-05-22 19:44:15
3279825,3554930,21314264,2020-05-22 19:44:15
3279826,3554931,21250123,2020-05-22 19:44:15
3279837,3554943,21293128,2020-05-22 19:44:15
3279828,3554933,21247739,2020-05-22 19:44:15
3279820,3554925,21309384,2020-05-22 19:44:15
3279821,3554926,21320864,2020-05-22 19:44:15
3279829,3554934,21250129,2020-05-22 19:44:15
3279830,3554935,21303181,2020-05-22 19:44:15
3279832,3554938,21309382,2020-05-22 19:44:15
3279833,3554939,21320853,2020-05-22 19:44:15
3279822,3554927,21310273,2020-05-22 19:44:15
3279824,3554929,21320849,2020-05-22 19:44:15
3279831,3554936,21304374,2020-05-22 19:44:15
3279834,3554940,21314282,2020-05-22 19:44:15
3279402,3554441,21013700,2020-05-22 15:48:59
3279404,3554443,21285044,2020-05-22 15:48:59
3279406,3554445,21267593,2020-05-22 15:48:59
3279407,3554446,21174363,2020-05-22 15:48:59
3279408,3554447,21216423,2020-05-22 15:48:59
3279398,3554437,21131570,2020-05-22 15:48:59
3279399,3554438,21131571,2020-05-22 15:48:59
3279403,3554442,21174561,2020-05-22 15:48:59
3279405,3554444,21040423,2020-05-22 15:48:59
3279400,3554439,21131572,2020-05-22 15:48:59
3279401,3554440,21131573,2020-05-22 15:48:59
3278272,3553079,21243451,2020-05-21 20:58:05
3278266,3553073,21199989,2020-05-21 20:58:05
3278277,3554138,21269251,2020-05-21 20:58:05
3278271,3554093,21274584,2020-05-21 20:58:05
3278278,3553086,21254813,2020-05-21 20:58:05
3278276,3554135,21235199,2020-05-21 20:58:05
3278275,3554464,21257756,2020-05-21 20:58:05
3278269,3553076,21243458,2020-05-21 20:58:05
3278274,3553082,21240691,2020-05-21 20:58:05
3278273,3553080,21017539,2020-05-21 20:58:05
3278270,3553077,21112685,2020-05-21 20:58:05
3278265,3553072,21286823,2020-05-21 20:58:05
3278268,3553075,21017541,2020-05-21 20:58:05
3278267,3553074,21112675,2020-05-21 20:58:05
3277208,3551929,21112204,2020-05-21 17:35:50
3277210,3551931,21199983,2020-05-21 17:35:50
3277209,3551930,21243454,2020-05-21 17:35:50
3277206,3551927,21247231,2020-05-21 17:35:50
3277211,3551932,21243460,2020-05-21 17:35:50
3277212,3551933,21200129,2020-05-21 17:35:50
3277207,3551928,21243446,2020-05-21 17:35:50
3277205,3551926,21245978,2020-05-21 17:35:50
3270603,3544279,21158052,2020-05-18 20:04:05
3270607,3544283,21097185,2020-05-18 20:04:05
3270609,3544285,21173911,2020-05-18 20:04:05
3270610,3544286,21097183,2020-05-18 20:04:05
3270612,3544288,21097198,2020-05-18 20:04:05
3270613,3544289,21026314,2020-05-18 20:04:05
3270614,3544290,21026318,2020-05-18 20:04:05
3270615,3544291,21196276,2020-05-18 20:04:05
3270604,3544280,21097216,2020-05-18 20:04:05
3270606,3544282,21040838,2020-05-18 20:04:05
3270611,3544287,21143610,2020-05-18 20:04:05
3270605,3544281,21039020,2020-05-18 20:04:05
3270608,3544284,21022989,2020-05-18 20:04:05
3270616,3544292,21164635,2020-05-18 20:04:05
3270617,3544293,21026342,2020-05-18 20:04:05
3269939,3543533,21162899,2020-05-18 16:15:00
3269940,3543534,21179855,2020-05-18 16:15:00
3269943,3543537,21162900,2020-05-18 16:15:00
3269944,3543538,21162902,2020-05-18 16:15:00
3269942,3543536,21189911,2020-05-18 16:15:00
3269935,3543529,21180664,2020-05-18 16:14:59
3269938,3543532,21146721,2020-05-18 16:14:59
3269941,3543535,21147006,2020-05-18 16:15:00
3269936,3543530,21145922,2020-05-18 16:14:59
3269937,3543531,21190607,2020-05-18 16:14:59
3268284,3541472,21120845,2020-05-15 21:42:18
3268285,3541473,21144812,2020-05-15 21:42:18
3268299,3541488,21106472,2020-05-15 21:42:18
3268302,3541492,21077637,2020-05-15 21:42:18
3268304,3541494,21116873,2020-05-15 21:42:18
3268305,3541495,21063995,2020-05-15 21:42:18
3268286,3541474,21097046,2020-05-15 21:42:18
3268287,3541475,21033818,2020-05-15 21:42:18
3268288,3541476,21111029,2020-05-15 21:42:18
3268289,3541477,21077636,2020-05-15 21:42:18
3268290,3541478,20961714,2020-05-15 21:42:18
3268291,3541479,21135760,2020-05-15 21:42:18
