ID,PARENTORGANIZATIONID,AKEY,DESCRIPTION
10000,,DEFAULT,Default
10048,10041,1098,SÃ?O LUÃ?S
10050,10043,1085,FORTALEZA/NATAL
10052,10222,SUL_II,SUL_II
10057,10051,1047,ITAJAÃ?
10060,10222,CENTRO_OESTE_I,CENTRO_OESTE_I
10044,10041,1071,SALVADOR
10049,10043,1081,RECIFE/MACEIO/JP
10061,10222,CENTRO_OESTE_II,CENTRO_OESTE_II
10062,10060,1031,BETIM/ TIMÃ“TEO
10064,10060,1034,UBERLANDIA
10065,10061,1061,BRASÃ?LIA
10072,10061,1065,CUIABA/ CAMPO GRANDE
10076,10073,1011,MAUA/ OSASCO/ SSV
10077,10073,1012,SAO JOSE/ POUSO ALEGRE
10041,10222,NORDESTE_I,NORDESTE_I
10051,10222,SUL_I,SUL_I
10053,10051,1041,ARAUCÃ?RIA
10071,10061,1062,GOIANIA/ GURUPI
10073,10222,SUDESTE_I,SUDESTE_I
10074,10222,SUDESTE_II,SUDESTE_II
10075,10222,SUDESTE_III,SUDESTE_III
10078,10074,1019,PAULINIA/ BAURU/ RIBEIRAO
10079,10075,1027,SERRA
10080,10075,1121,CAXIAS/ MACAE
10046,10041,1179,ARACAJU
10058,10052,1043,LONDRINA
10059,10052,1151,PORTO ALEGRE
10047,10041,1091,BELÃ‰M
10043,10222,NORDESTE_II,NORDESTE_II
10045,10041,1073,JEQUIÃ‰
10063,10060,1032,JUÃ?Z DE FORA
10160,10221,1031_D1,1031_D1
10221,10220,CENTRO_OESTE_I_D1,CENTRO_OESTE_I_D1
10222,10020,D2,GRANEL
10220,10020,D1,ENVASADO
