ID,AKEY,ORGANIZATIONID,STATUS,PLANNEDDEPARTURE,ACTUALDEPARTURE,PLANNEDARRIVAL,ACTUALARRIVAL,ROUTEDATE
219015,3822216643,10049,NOT_STARTED,2020-06-10 10:00:00,,2020-06-10 16:39:43,,2020-06-10 00:00:00
218971,294579723,10160,NOT_STARTED,2020-06-10 07:00:00,,2020-06-10 18:11:35,,2020-06-10 00:00:00
218265,3769879272,10050,COMPLETED,2020-06-04 12:30:00,2020-06-04 11:40:45,2020-06-04 19:19:20,2020-06-04 19:51:00,2020-06-04 00:00:00
218244,3790565749,10057,COMPLETED,2020-06-04 08:45:00,2020-06-04 08:36:25,2020-06-04 21:50:42,2020-06-04 21:15:00,2020-06-04 00:00:00
217470,3127463195,10059,COMPLETED,2020-05-29 11:00:00,2020-05-29 11:23:11,2020-05-29 17:40:38,2020-05-30 11:13:20,2020-05-29 00:00:00
217022,1191646472,10076,COMPLETED,2020-05-26 09:00:00,2020-05-26 09:20:43,2020-05-26 16:50:30,2020-05-26 18:27:08,2020-05-26 00:00:00
216948,1460877436,10057,COMPLETED,2020-05-26 10:00:00,2020-05-26 09:28:53,2020-05-26 11:15:29,2020-05-26 17:06:04,2020-05-26 00:00:00
216693,2866087569,10160,COMPLETED,2020-05-25 07:00:00,2020-05-25 09:31:53,2020-05-25 08:43:39,2020-05-25 16:47:43,2020-05-25 00:00:00
216655,3740761196,10080,COMPLETED,2020-05-23 06:00:00,2020-05-23 11:07:50,2020-05-23 10:30:51,2020-05-23 18:36:36,2020-05-23 00:00:00
216562,1034735175,10062,COMPLETED,2020-05-22 07:30:00,2020-05-22 10:24:48,2020-05-22 12:55:52,2020-05-22 17:07:15,2020-05-22 00:00:00
216480,1078133776,10062,COMPLETED,2020-05-21 16:30:00,2020-05-21 18:01:45,2020-05-21 20:48:04,2020-05-21 22:43:50,2020-05-21 00:00:00
216026,1140508764,10049,COMPLETED,2020-05-19 10:00:00,2020-05-19 10:18:48,2020-05-19 16:49:12,2020-05-19 18:35:15,2020-05-19 00:00:00
215983,569618823,10160,COMPLETED,2020-05-19 07:00:00,2020-05-19 09:37:07,2020-05-19 13:28:57,2020-05-19 17:15:35,2020-05-19 00:00:00
215865,1749667458,10080,COMPLETED,2020-05-18 07:00:00,2020-05-18 10:08:22,2020-05-19 12:00:02,2020-05-19 18:55:32,2020-05-18 00:00:00
215776,585343141,10065,COMPLETED,2020-05-18 06:30:00,2020-05-18 09:53:17,2020-05-18 13:25:43,2020-05-18 15:35:21,2020-05-18 00:00:00
215703,2710067542,10062,COMPLETED,2020-05-16 07:30:00,2020-05-16 10:17:43,2020-05-16 09:39:40,2020-05-16 13:32:59,2020-05-16 00:00:00
214969,1307828706,10050,COMPLETED,2020-05-09 12:30:00,2020-05-09 12:12:56,2020-05-09 13:29:34,2020-05-09 18:44:33,2020-05-09 00:00:00
214275,727708951,10065,COMPLETED,2020-05-06 06:30:00,2020-05-06 09:52:40,2020-05-06 12:33:34,2020-05-06 14:47:28,2020-05-06 00:00:00
213648,1813046732,10059,COMPLETED,2020-04-30 11:00:00,2020-04-30 11:53:02,2020-05-01 16:04:48,2020-05-04 12:28:42,2020-04-30 00:00:00
213505,2398752684,10071,COMPLETED,2020-04-29 10:30:00,2020-04-29 10:05:00,2020-04-29 19:49:13,2020-04-29 19:51:32,2020-04-29 00:00:00
